tokenID	Bit String	Type of Token	description	external_url	Starting Project	Unit	Deleverable	Years_Duration	Impact Type	SDGs	KML	Starting Date	Implementer Partner	Document Type	Internal Verification	IV_Document	Local Verification	Imv_Document	Project Type	Impact Unit
11	01100000100000011001110100101010101010000000001111100000000000001011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
12	01100000100000001110100010101010101001111110011111000000000000001100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
13	01100000100000001010100000101010101010000011111100100000000000001101000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
14	01100000100000001110100010101010101010000010001000100000000000001110000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
15	01100000100000011000100000101010101001111111100110100000000000001111000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
16	01100000100000010000111110101010101010000011000110000000000000010000000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
17	01100000100000010011100000101010101010000100000000000000000000010001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
18	01100000100000011000100100101010101001111111000010100000000000010010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
19	01100000100000001111110000101010101001111111011010100000000000010011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
20	01100000100000010111000100101010101010000001001000100000000000010100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
21	01100000100000100000110000101010101001111101001100100000000000010101000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
22	01100000100000010011010100101010101001111111010101100000000000010110000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
23	01100000100000001011111000101010101001111111011111100000000000010111000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
24	01100000100000010000001100101010101010000000100101000000000000011000000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
25	01100000100000010111000010101010101001111100100010100000000000011001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
26	01100000100000011011001010101010101001111011110100000000000000011010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
27	01100000100000010001010110101010101001111110000110100000000000011011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
28	01100000100000001100101110101010101010000001101000100000000000011100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
29	01100000100000011101001110101010101010000000101000100000000000011101000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
30	01100000100000001101011100101010101010000100001010100000000000011110000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
31	01100000100000010110010010101010101001111101011111000000000000011111000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
